Date,GeoID,GeoName,NAICS,NAICS Description,Prices,Value
2005,48,Alberta,23,Construction,Chained (2017) dollars,23370300000.0
2005,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,24042000000.0
2005,48,Alberta,41,Wholesale trade,Chained (2017) dollars,11945100000.0
2005,48,Alberta,44-45,Retail trade,Chained (2017) dollars,9450300000.0
2005,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,11920700000.0
2005,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,5675700000.0
2005,48,Alberta,52,Finance and insurance,Chained (2017) dollars,8462000000.0
2005,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,23181500000.0
2005,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,13689400000.0
2005,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,1943900000.0
2005,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,6021700000.0
2005,48,Alberta,61,Educational services,Chained (2017) dollars,9969100000.0
2005,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,13756500000.0
2005,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1477700000.0
2005,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5573200000.0
2005,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,4870300000.0
2005,48,Alberta,91,Public administration,Chained (2017) dollars,11764900000.0
2006,48,Alberta,T001,All industries,Chained (2017) dollars,257750400000.0
2006,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,5363700000.0
2006,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,44564000000.0
2006,48,Alberta,22,Utilities,Chained (2017) dollars,4177400000.0
2006,48,Alberta,23,Construction,Chained (2017) dollars,26001400000.0
2006,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,25485800000.0
2006,48,Alberta,41,Wholesale trade,Chained (2017) dollars,13061300000.0
2006,48,Alberta,44-45,Retail trade,Chained (2017) dollars,10728200000.0
2006,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,12919800000.0
2006,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6218400000.0
2006,48,Alberta,52,Finance and insurance,Chained (2017) dollars,9759700000.0
2006,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,24418600000.0
2006,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,14800800000.0
2006,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2122300000.0
2006,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,6326300000.0
2006,48,Alberta,91,Public administration,Chained (2017) dollars,12288300000.0
2006,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,5244200000.0
2006,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5770500000.0
2006,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1524900000.0
2006,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,14167500000.0
2006,48,Alberta,61,Educational services,Chained (2017) dollars,10118400000.0
2007,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6362400000.0
2007,48,Alberta,52,Finance and insurance,Chained (2017) dollars,10085300000.0
2007,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,26047400000.0
2007,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,15507700000.0
2007,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2223200000.0
2007,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,6788600000.0
2007,48,Alberta,61,Educational services,Chained (2017) dollars,10502800000.0
2007,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,14901000000.0
2007,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1551100000.0
2007,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5990400000.0
2007,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,5253400000.0
2007,48,Alberta,91,Public administration,Chained (2017) dollars,12774600000.0
2007,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,13113100000.0
2007,48,Alberta,44-45,Retail trade,Chained (2017) dollars,11814900000.0
2007,48,Alberta,41,Wholesale trade,Chained (2017) dollars,13122000000.0
2007,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,25558000000.0
2007,48,Alberta,23,Construction,Chained (2017) dollars,29441300000.0
2007,48,Alberta,22,Utilities,Chained (2017) dollars,3969600000.0
2007,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,42825500000.0
2007,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,4691500000.0
2007,48,Alberta,T001,All industries,Chained (2017) dollars,262758000000.0
2008,48,Alberta,T001,All industries,Chained (2017) dollars,266188600000.0
2008,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,5466000000.0
2008,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,41587600000.0
2008,48,Alberta,22,Utilities,Chained (2017) dollars,4174800000.0
2008,48,Alberta,23,Construction,Chained (2017) dollars,31137500000.0
2008,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,25185100000.0
2008,48,Alberta,41,Wholesale trade,Chained (2017) dollars,12974500000.0
2008,48,Alberta,44-45,Retail trade,Chained (2017) dollars,12179600000.0
2008,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,12504700000.0
2008,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6498900000.0
2008,48,Alberta,52,Finance and insurance,Chained (2017) dollars,10351600000.0
2008,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,27242200000.0
2008,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,16347700000.0
2008,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2423200000.0
2008,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,6955300000.0
2008,48,Alberta,61,Educational services,Chained (2017) dollars,10937000000.0
2008,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,15626500000.0
2008,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1625900000.0
2008,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,6050200000.0
2008,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,5429700000.0
2008,48,Alberta,91,Public administration,Chained (2017) dollars,13458800000.0
2009,48,Alberta,T001,All industries,Chained (2017) dollars,251999200000.0
2009,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,4668300000.0
2009,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,40015100000.0
2009,48,Alberta,22,Utilities,Chained (2017) dollars,3793600000.0
2009,48,Alberta,23,Construction,Chained (2017) dollars,24052900000.0
2009,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,20947300000.0
2009,48,Alberta,41,Wholesale trade,Chained (2017) dollars,11551400000.0
2009,48,Alberta,44-45,Retail trade,Chained (2017) dollars,11722000000.0
2009,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,12226400000.0
2009,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,6446900000.0
2009,48,Alberta,52,Finance and insurance,Chained (2017) dollars,10437000000.0
2009,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,27801400000.0
2009,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,15946500000.0
2009,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2262600000.0
2009,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,6684800000.0
2009,48,Alberta,61,Educational services,Chained (2017) dollars,11109600000.0
2009,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,16094100000.0
2009,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1546200000.0
2009,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,6108400000.0
2009,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,5327500000.0
2009,48,Alberta,91,Public administration,Chained (2017) dollars,14461200000.0
2010,48,Alberta,91,Public administration,Chained (2017) dollars,14669400000.0
2010,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,5417100000.0
2010,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,5955600000.0
2010,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1445100000.0
2010,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,16349800000.0
2010,48,Alberta,61,Educational services,Chained (2017) dollars,11269900000.0
2010,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,6477300000.0
2010,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,2371100000.0
2010,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,15886100000.0
2010,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,28865300000.0
